1,capt. trevor,9348403996,trevor@gmail.com,8,steve lane,patamata,vijayawada,andhra pradesh,india,520010,0,1234567891011121314,0.00
2,steve rogers,9652919652,steve@yahoo.com,4,trevor lane,17 jones street,sydney,new south wales,australia,520013,0,1234455660091230000,0.00
3,maheeth,4032051464,maheeth@mail.ru,2,road no 12,banjarahills,hyderabad,telangana,india,500034,0,6154783469872377125,0.00
4,vineeth,131855208,vin979@tree.com,1,bucky st,brooklyn,chicago,illinois,usa,60415,0,3425328743897235831,0.00
5,amazon enterprise,4023305826,amazon@amz.com,3,denny st,rufus,seattle,washington,usa,98106,1,9993133216645587342,0.00
6,kiran,9348303996,kir231@hotmail.com,6,purna market,jagadamba center,vishakapatnam,andhra pradesh,india,530020,0,2198743756712893324,0.00
7,abrar,9348202996,abr1999@gmail.com,9,gandhi road,gomatinagar,lucknow,uttara pradesh,india,226003,0,1726214709347354280,0.00
8,kkd retailers,4023305651,kkdret@yahoo.com,12,road 1,madhapur,hyderabad,telangana,india,500072,1,3456248576213573478,0.00
9,ramesh,4589987525,ram1997@red.com,25,rajaji street,nungambakkam,chennai,tamilnadu,india,600034,0,1263534709384563534,0.00
10,diana prince,123864489,diana65@hotmail.com,52,rue des fleurs,charles square,libourne,jombi,france,34092,0,2342423098465142389,0.00
11,mangesh,9441210596,manchan16@hred.com,16,geetanjali,jorasanko,sangli,maharashtra,india,416415,0,4327866128390214678,0.00
12,gen. ludendorff,8984432104,ludrof@gmail.com,93,deiter welhasen,lansstra 81,berlin,north province,germany,20095,0,2173512490834763279,0.00
13,hehule,8642400012,hulu@joymail.com,21,general st,aragon,catalunya,madrid,spain,4009,0,1234567890987654321,0.00
14,clark kent,851456700,ckent@outlook.com,54,williams lane,witchita,kansas city,kansas,usa,66110,0,987654321234567890,0.00
15,a l perera,9921130020,alper56@lmail.com,30,galle road,wellawatta,pannala,north srilanka,srilanka,61012,0,7890987654321234560,0.00
16,uva private limited,2246798543,uvapltd@uva.org,102,james street,bandra,mumbai,maharashtra,india,400050,1,6235497565534240981,0.00
17,durga,9348202996,kddev@yomail.com,440,remmington street,adikmet,patna,bihar,india,800001,0,6754329084126797289,0.00
18,francis,9079431379,francis49@lyreco.com,231,julius road,paul ricard,les combes,normandy,france,75116,0,2345609876898767890,0.00
19,isabel maru,1368990853,marisb@ymail.com,450,annabel street,calle de los,valles oriental,barcelona,spain,8999,0,1236267865898087654,0.00
20,mmreddy,965349542,mmr127@yahoo.com,74,nehru road,jantarmantar,new delhi,delhi,india,100001,0,2345639876890123423,0.00
21,mangal,965349587,mang001@gmail.com,22,road no 12,banjarahills,hyderabad,telangana,india,500034,0,2345639876890123864,0.00
